filename,aOD,sOD,aNR,N_ISNT,I_ISNT,T_ISNT,S_ISNT,aOC,sOC,aCDR,vCDR,hCDR,Wmin_rim,wRDR,Curv_Global_Max,Curv_Global_Mean,Curv_TL_Max,Curv_TL_Mean,Curv_TR_Max,Curv_TR_Mean,Curv_BL_Max,Curv_BL_Mean,Curv_BR_Max,Curv_BR_Mean,Dist_Horizontal_Centroide,label
r1_Im001.png,16298,0.8709677419354839,12761,47.0,38.0,27.0,38.0,3537,0.7662337662337663,0.2170204933120628,0.4967741935483871,0.437037037037037,26.83281572999748,0.1993311480237972,2.0050406475916978,0.2953745797446045,2.0050406475916978,0.2915393974786773,1.4501726582147938,0.2474929240587919,1.8195063158884195,0.4390956059181109,1.9295669970654687,0.2855354008855185,8,normal
r1_Im003.png,19121,1.0326797385620916,13537,36.0,34.0,35.0,35.0,5584,1.0116279069767442,0.2920349354113278,0.5620915032679739,0.5506329113924051,32.28002478313795,0.216371744492459,2.158798930342464,0.3074220963276126,1.8018869939907936,0.2003278035582635,1.8052120025187075,0.3199437444264192,1.8052120025187075,0.3464989775810266,2.158798930342464,0.3331287836962351,16,normal
r1_Im004.png,22809,1.005813953488372,14557,39.0,30.0,26.0,41.0,8252,1.101010101010101,0.3617870138980227,0.5755813953488372,0.630057803468208,23.706539182259394,0.142490238992334,2.231839495645583,0.3007597682037464,2.1112158270654806,0.3404117559749073,2.1625724973364,0.213466705947965,2.231839495645583,0.3845512626244774,2.0344439357957027,0.1972653387876836,29,normal
r1_Im008.png,19039,1.0794701986754969,16155,43.0,43.0,66.0,39.0,2884,0.782608695652174,0.1514785440411786,0.4569536423841059,0.3312883435582822,33.54101966249684,0.2335893260131488,2.1393208745259367,0.2732465436008471,1.7894652726688385,0.2898810043727248,2.1393208745259367,0.2614004977389702,1.9100889412489408,0.3343971913791058,0.7483780475235182,0.1767105436179259,12,normal
r1_Im011.png,14003,0.8943661971830986,12073,34.0,51.0,35.0,49.0,1930,1.3488372093023255,0.1378276083696351,0.3028169014084507,0.4566929133858268,31.25699921617557,0.2558099177097331,2.1763409903998667,0.2329695296677711,1.940129984468522,0.2459438775934045,1.9295669970654687,0.1909298681666296,2.1763409903998667,0.2595783436426193,1.5707963267948966,0.2390626172246381,3,normal
r1_Im012.png,19409,0.8588235294117647,15409,56.0,49.0,20.0,42.0,4000,0.9324324324324323,0.2060899582667834,0.4352941176470588,0.4726027397260274,19.92485884517128,0.1390493777760038,2.231839495645583,0.2691902979113377,1.4501726582147938,0.2363244750774906,1.8157749899217608,0.3708055842559491,0.4636476090008061,0.1005020075657045,2.231839495645583,0.3030561039257488,15,normal
r1_Im014.png,17195,1.0068027210884354,9898,22.0,27.0,28.0,26.0,7297,1.0425531914893618,0.4243675487060191,0.6394557823129252,0.6621621621621622,18.68154169226941,0.1316450534630945,1.9974238199217729,0.2734527444620361,1.9513027039072612,0.230117956587242,1.9974238199217729,0.2913284928820234,1.4659193880646626,0.2795993936596535,1.8157749899217608,0.2655885125879438,20,normal
r1_Im015.png,17799,0.9866666666666668,10334,20.0,19.0,23.0,34.0,7465,1.0625,0.4194055845834035,0.64,0.6891891891891891,17.804493814764857,0.1233778295948433,2.201875714266226,0.3212496954129316,2.1411796084448382,0.3135744941969271,1.7975951748487824,0.3109871588456439,2.201875714266226,0.3357895003539488,2.100385925576973,0.3273845615611937,19,normal
r1_Im019.png,20639,0.9230769230769232,16089,49.0,47.0,35.0,44.0,4550,0.9012345679012346,0.2204564174620863,0.4792899408284023,0.4679487179487179,33.24154027718932,0.2151477140803374,2.1000431076267416,0.27739547012446,2.1000431076267416,0.2877915796103797,1.940129984468522,0.3335806032663562,0.6947382761967029,0.12833193147898,1.8195063158884195,0.2775512875169319,20,normal
r1_Im020.png,18718,1.0,16589,39.0,44.0,66.0,52.0,2129,0.8928571428571429,0.1137407842718239,0.3612903225806451,0.3225806451612903,37.8549864614954,0.2510037007116402,2.20786665607058,0.2172753719899092,1.6845883339386043,0.2519203419909401,1.9576720445259248,0.1629397947743711,2.20786665607058,0.2882021164128173,0.7853981633974483,0.1364992593098629,13,normal
r1_Im023.png,17581,0.9673202614379084,14599,42.0,42.0,48.0,47.0,2982,0.9076923076923076,0.1696149252033445,0.4248366013071895,0.3986486486486486,35.84689665786984,0.2556192442026071,2.214297435588181,0.2953608251488015,2.155067604375805,0.3043768006366733,2.08994244104142,0.2358109383664953,2.214297435588181,0.4060332879164538,1.691419995374999,0.18394895735695,15,normal
r1_Im024.png,17550,0.935483870967742,12071,25.0,40.0,28.0,40.0,5479,1.2236842105263157,0.3121937321937322,0.4903225806451612,0.6413793103448275,24.020824298928627,0.1715379372308917,2.119345729245425,0.3276161231234169,1.7706249718678868,0.3732291622783417,1.9693187724613168,0.2240895862414436,2.0539219916122304,0.4325392114198604,2.119345729245425,0.2690871526788144,18,normal
r1_Im025.png,16210,0.8807947019867549,11552,26.0,38.0,32.0,36.0,4658,0.9753086419753086,0.287353485502776,0.5364238410596026,0.5939849624060151,24.839484696748443,0.1776561755522511,2.137525544318403,0.2970964942316967,1.3521273809209546,0.255946071313209,2.060753653048625,0.3435398027184008,1.7263911547719262,0.2531540036030538,2.137525544318403,0.3318509391024497,14,normal
r1_Im026.png,19844,0.951219512195122,18240,71.0,52.0,42.0,60.0,1604,0.8367346938775511,0.0808304777262648,0.298780487804878,0.2628205128205128,38.948684188300895,0.2511982017916068,2.0539219916122304,0.2632522601300643,2.0539219916122304,0.244786820800669,1.6556981202446184,0.2858138601146547,1.9693187724613168,0.2318410140596419,1.8195063158884195,0.2869641442207131,15,normal
r1_Im027.png,20505,0.9181286549707602,17930,40.0,55.0,57.0,58.0,2575,1.148148148148148,0.1255791270421848,0.3157894736842105,0.3949044585987261,36.6742416417845,0.2367114867203162,2.214297435588181,0.2618578223136764,1.9295669970654687,0.3268099847812434,1.6512673380603573,0.1405135862844625,2.214297435588181,0.3186427666977591,1.5707963267948966,0.1999380737596489,20,normal
r1_Im028.png,18350,0.8666666666666667,9852,16.0,20.0,34.0,28.0,8498,0.7948717948717948,0.4631062670299727,0.7090909090909091,0.6503496503496503,8.48528137423857,0.0566037735849056,2.214297435588181,0.3320033565736946,2.214297435588181,0.3343008748352635,1.892546881191539,0.3523839231419041,2.214297435588181,0.3884730782714269,0.9397169393235671,0.1864758240770118,25,normal
r1_Im029.png,21478,0.864406779661017,16840,58.0,45.0,25.0,43.0,4638,0.7931034482758621,0.2159418940311016,0.4915254237288136,0.4509803921568627,25.0,0.1677852348993288,2.0778948311872334,0.281581577458254,1.9295669970654687,0.1941217269874194,2.0539219916122304,0.3723010063623229,2.0778948311872334,0.189241516053056,1.8157749899217608,0.3461058118038672,19,normal
r1_Im031.png,15483,0.91156462585034,14200,30.0,43.0,67.0,53.0,1283,0.8222222222222222,0.0828650778272944,0.3061224489795918,0.2761194029850746,29.27456233660889,0.2230608755551655,2.191045812777718,0.3042832956742207,2.1000431076267416,0.2812006373819666,2.066690818230956,0.3214923108793397,2.191045812777718,0.34744143027899,2.0205559398647357,0.2837949344626793,13,normal
r1_Im032.png,15601,0.8993288590604027,13882,51.0,50.0,37.0,49.0,1719,0.9387755102040816,0.1101852445356066,0.3288590604026846,0.3432835820895522,35.90264614203248,0.2746347113764077,2.1164513813218884,0.2766890279908525,1.8449637779145556,0.256482899290731,1.6373644905707203,0.27116868692498,2.1164513813218884,0.2847118558720844,1.940129984468522,0.2873361774538974,8,normal
